fecha,dia100,casos,recuperados totales,muertes,casos negativos,Totales,fallecidos
5-Mar,-13,1,0,0,1,1,0
6-Mar,-12,1,0,0,11,2,0
7-Mar,-11,7,0,0,,9,0
8-Mar,-10,3,0,0,28,12,0
9-Mar,-9,5,0,1,,17,1
10-Mar,-8,2,0,0,,19,1
11-Mar,-7,2,0,0,,21,1
12-Mar,-6,10,0,0,,31,1
13-Mar,-5,3,0,1,,34,2
14-Mar,-4,11,0,0,,45,2
15-Mar,-3,11,0,0,,56,2
16-Mar,-2,9,0,0,,65,2
17-Mar,-1,13,0,0,,78,2
18-Mar,0,19,0,0,,97,2
19-Mar,1,31,0,1,,128,3
20-Mar,2,30,0,0,,158,3
21-Mar,3,67,0,1,,225,4
22-Mar,4,40,0,0,,265,4
23-Mar,5,36,0,0,,301,4
24-Mar,6,84,52,2,2695,385,6
25-Mar,7,117,63,2,3188,502,8
26-Mar,8,87,70,4,3516,589,12
27-Mar,9,101,76,5,4128,690,17
28-Mar,10,55,80,2,4687,745,19
29-Mar,11,75,91,1,,820,20
30-Mar,12,146,228,4,,966,24
31-Mar,13,88,240,3,3877,1054,27
1-Apr,14,79,248,5,4597,1133,32
2-Apr,15,132,256,4,5144,1265,36
3-Apr,16,88,266,6,6120,1353,42
4-Apr,17,98,279,1,7135,1451,43
5-Apr,18,103,280,3,7888,1554,46
6-Apr,19,74,325,7,8508,1628,53
7-Apr,20,87,338,7,9165,1715,60
8-Apr,21,80,358,5,10438,1795,65
9-Apr,22,99,365,14,11835,1894,79
10-Apr,23,81,375,3,12983,1975,82
11-Apr,24,167,440,7,14150,2142,89
12-Apr,25,66,468,6,15480,2208,95
13-Apr,26,69,515,3,16416,2277,98
14-Apr,27,166,559,7,17724,2443,105
15-Apr,28,128,596,7,18901,2571,112
16-Apr,29,98,613,10,20645,2669,122
17-Apr,30,89,666,7,22310,2758,129
18-Apr,31,81,685,3,23796,2839,132
19-Apr,32,102,709,2,25259,2941,134
20-Apr,33,90,737,8,26658,3031,142
21-Apr,34,112,840,9,28298,3143,151
22-Apr,35,144,872,8,30362,3287,159
23-Apr,36,147,919,6,32414,3434,165
24-Apr,37,172,976,11,34431,3606,176
25-Apr,38,173,1030,9,36610,3779,185
26-Apr,39,112,1107,7,38215,3891,192
27-Apr,40,111,1140,5,39990,4002,197
28-Apr,41,124,1162,10,41559,4126,207
29-Apr,42,158,1192,7,43322,4284,214
30-Apr,43,143,1256,4,45446,4427,218
1-May,44,105,1292,7,47467,4532,225
2-May,45,149,1320,12,49247,4681,237
3-May,46,102,1354,9,50779,4783,246
4-May,47,104,1442,14,52264,4887,260
