Date,Confirmed,New,Recovered,Deaths,Active
2020-02-25T00:00:00Z,1,1,0,0,1
2020-02-26T00:00:00Z,1,0,0,0,1
2020-02-27T00:00:00Z,8,7,0,0,8
2020-02-28T00:00:00Z,8,0,0,0,8
2020-02-29T00:00:00Z,18,10,0,0,18
2020-03-01T00:00:00Z,27,9,0,0,27
2020-03-02T00:00:00Z,42,15,0,0,42
2020-03-03T00:00:00Z,56,14,2,0,54
2020-03-04T00:00:00Z,90,34,3,0,87
2020-03-05T00:00:00Z,114,24,3,1,110
2020-03-06T00:00:00Z,214,100,3,1,210
2020-03-07T00:00:00Z,268,54,3,1,264
2020-03-08T00:00:00Z,337,69,3,2,332
2020-03-09T00:00:00Z,374,37,3,2,369
2020-03-10T00:00:00Z,491,117,3,3,485
2020-03-11T00:00:00Z,652,161,4,4,644
2020-03-12T00:00:00Z,652,0,4,4,644
2020-03-13T00:00:00Z,1139,487,4,11,1124
2020-03-14T00:00:00Z,1359,220,4,13,1342
2020-03-15T00:00:00Z,2200,841,4,14,2182
2020-03-16T00:00:00Z,2200,0,4,14,2182
2020-03-17T00:00:00Z,2700,500,4,27,2669
2020-03-18T00:00:00Z,3028,328,15,28,2985
2020-03-19T00:00:00Z,4075,1047,15,41,4019
2020-03-20T00:00:00Z,5294,1219,15,54,5225
2020-03-21T00:00:00Z,6575,1281,15,75,6485
2020-03-22T00:00:00Z,7474,899,131,98,7245
2020-03-23T00:00:00Z,8795,1321,131,120,8544
2020-03-24T00:00:00Z,9877,1082,131,122,9624
2020-03-25T00:00:00Z,10897,1020,131,153,10613
2020-03-26T00:00:00Z,11811,914,131,191,11489
2020-03-27T00:00:00Z,12928,1117,1530,231,11167
2020-03-28T00:00:00Z,14076,1148,1530,264,12282
2020-03-29T00:00:00Z,14829,753,1595,300,12934
2020-03-30T00:00:00Z,15922,1093,1823,359,13740
2020-03-31T00:00:00Z,16605,683,1823,433,14349
2020-04-01T00:00:00Z,17768,1163,2967,488,14313
2020-04-02T00:00:00Z,18827,1059,4013,536,14278
2020-04-03T00:00:00Z,19606,779,4846,591,14169
2020-04-04T00:00:00Z,20505,899,6415,666,13424
2020-04-05T00:00:00Z,21100,595,6415,715,13970
2020-04-06T00:00:00Z,21657,557,8056,765,12836
2020-04-07T00:00:00Z,22253,596,8704,821,12728
2020-04-08T00:00:00Z,23280,1027,9800,895,12585
2020-04-09T00:00:00Z,24051,771,10600,948,12503
2020-04-10T00:00:00Z,24551,500,11100,1002,12449
2020-04-11T00:00:00Z,25107,556,12100,1036,11971
2020-04-12T00:00:00Z,25415,308,12700,1106,11609
2020-04-13T00:00:00Z,25688,273,13700,1138,10850
2020-04-14T00:00:00Z,25936,248,13700,1174,11062
2020-04-15T00:00:00Z,26336,400,15400,1239,9697
2020-04-16T00:00:00Z,26732,396,15900,1281,9551
2020-04-17T00:00:00Z,27078,346,16400,1327,9351
2020-04-18T00:00:00Z,27404,326,17100,1368,8936
2020-04-19T00:00:00Z,27740,336,17800,1393,8547
2020-04-20T00:00:00Z,27944,204,18600,1429,7915
2020-04-21T00:00:00Z,28063,119,19400,1478,7185
2020-04-22T00:00:00Z,28268,205,19900,1509,6859
2020-04-23T00:00:00Z,28496,228,20600,1549,6347
2020-04-24T00:00:00Z,28677,181,21000,1589,6088
2020-04-25T00:00:00Z,28894,217,21300,1599,5995
2020-04-26T00:00:00Z,29061,167,21800,1610,5651
2020-04-27T00:00:00Z,29164,103,22200,1665,5299
2020-04-28T00:00:00Z,29264,100,22600,1699,4965
2020-04-29T00:00:00Z,29407,143,22600,1716,5091
2020-04-30T00:00:00Z,29586,179,23400,1737,4449
2020-05-01T00:00:00Z,29705,119,23900,1754,4051
2020-05-02T00:00:00Z,29817,112,24200,1762,3855
2020-05-03T00:00:00Z,29905,88,24500,1762,3643
2020-05-04T00:00:00Z,29981,76,25200,1784,2997
2020-05-05T00:00:00Z,30009,28,25400,1795,2814
2020-05-06T00:00:00Z,30060,51,25700,1805,2555
2020-05-07T00:00:00Z,30126,66,25900,1810,2416
2020-05-08T00:00:00Z,30207,81,26100,1823,2284
2020-05-09T00:00:00Z,30251,44,26400,1830,2021
2020-05-10T00:00:00Z,30305,54,26600,1833,1872
2020-05-11T00:00:00Z,30344,39,26800,1845,1699
2020-05-12T00:00:00Z,30380,36,26800,1867,1713
2020-05-13T00:00:00Z,30413,33,27100,1870,1443
2020-05-14T00:00:00Z,30463,50,27100,1872,1491
2020-05-15T00:00:00Z,30514,51,27100,1878,1536
2020-05-16T00:00:00Z,30572,58,27400,1879,1293
2020-05-17T00:00:00Z,30587,15,27500,1881,1206
2020-05-18T00:00:00Z,30597,10,27600,1886,1111
2020-05-19T00:00:00Z,30618,21,27700,1891,1027
2020-05-20T00:00:00Z,30658,40,27800,1892,966
2020-05-21T00:00:00Z,30694,36,27900,1898,896
2020-05-22T00:00:00Z,30707,13,27900,1903,904
2020-05-23T00:00:00Z,30725,18,28000,1905,820
2020-05-24T00:00:00Z,30736,11,28100,1906,730
2020-05-25T00:00:00Z,30746,10,28200,1913,633
2020-05-26T00:00:00Z,30761,15,28200,1915,646
2020-05-27T00:00:00Z,30776,15,28300,1917,559
